oodham,english,partOfSpeech,pattern,pronunciation,reduplicated,redup_pronunciation,redup_meaning,dialect,dialect_id,examples,sing_audio,pl_audio,image,example_audio,
tatk,root / roots,noun,,[t̪ɑt̪k],,,,Any,,Ha’i ’o hi va hekaj g hovij tatk mat o ha-na:to g hoaha.::Some people use banana yucca root to make baskets.,audio/root.mp3,,,audio/examples/somepeopleusebananayuccaroottomakebaskets.mp3,
vo:k,stomach; belly,noun,1,[vɔːk],vo:pk,[vɔːpk],stomachs; bellies,Any,,S-ko’ok g ñ-vo:k.::My stomach hurts.,audio/stomach.mp3,audio/stomachs.mp3,,audio/examples/mystomachhurts.mp3,
ka:m,cheek (of the face),noun,2,[kɑːm],ka:kam,[ˈkɑː.kɑm],cheeks (of the face),Any,,Dagkoan g ’e-ka:m.::Wipe your cheek.,audio/cheekface.mp3,audio/cheeks.mp3,,audio/examples/wipeyourcheek.mp3,
’at,butt; bottom,noun,2,[ʔɑt̪],’a’at,[ˈʔɑ.ʔɑt̪],butts; bottoms,Any,,Si ’at ṣoñhi g ñ-’at!::S/he sure hit me on the butt!,audio/butt.mp3,audio/butts.mp3,,audio/examples/hesurehitmeonthebutt.mp3,
hujuḍ,lizard,noun,2,[ˈhu.ɟuɖ̥],huhujuḍ,[ˈhu.ɟuɖ̥],lizards,Any,,Hegi hujuḍ ’o ’an kolhi t-’ab him.::That lizard is crawling on the fence.,audio/lizard.mp3,audio/lizards.mp3,,audio/examples/thatlizardiscrawlingonthefence.mp3,
votoñ,button,noun,1,[ˈvɔ.t̪ɔɲ],voptoñ,[ˈvɔ.t̪ɔɲ],buttons,Any,,Mu’i voptoñ ’i:da ’ipuḍ.::This dress has many buttons.,audio/button.mp3,audio/buttons.mp3,,audio/examples/thisdresshasmanybuttons.mp3,
vo:da,boot,noun,3,[ˈvɔː.d̪ɑ],vopda,[ˈvɔː.d̪ɑ],boots,Any,,Ba: pt toa g ñ-vopda?::Where did you put my boots?,audio/boot.mp3,audio/boots.mp3,,audio/examples/wheredidyouputmyboots.mp3,
’u:s,stick,noun,4,[ˈʔuːs],’u’us,[ˈʔuːs],sticks,Any,,Ha’i g ’i ’u’ukai g ’u’us.::Bring some sticks over here.,audio/stick.mp3,,,audio/examples/bringsomesticksoverhere.mp3,
kalna:yo,pomegranate / pomegranates,noun,,[kɑɽ.ˈnɑː.jɔ],,,,Any,,Si s-io’ovĭ ’i:da kalna:yo.::This pomegranate is really sweet.,audio/pomegranate.mp3,,,audio/examples/thispomegranateisreallysweet.mp3,
ṣa:mt,brick / bricks,noun,,[ʂɑːmt̪],,,,Any,,Ha’i g na:to g bid ṣa:mt.::Make some adobe bricks.,audio/brick.mp3,,,audio/examples/makesomeadobebricks.mp3,
